"intersection1","intersection2","Address","Year","Month","Direction","Coordinates","Intersection ID","Filename"
"Berger Alley "," South Sixth Street","584 S 6th St, Columbus, OH 43206, USA","2019","11","S","39.951094,-82.990862","80","Berger Alley & South Sixth Street~584 S 6th St, Columbus, OH 43206, USA~2019-11~S~39.951094,-82.990862~id-80.jpg"
"Berger Alley "," Unknown","299 Berger Alley, Columbus, OH 43206, USA","2015","08","SW","39.951073,-82.990289","85","Berger Alley & Unknown~299 Berger Alley, Columbus, OH 43206, USA~2015-08~SW~39.951073,-82.990289~id-85.jpg"
"Berger Alley "," Unknown","301 Berger Alley, Columbus, OH 43206, USA","2015","08","SE","39.951073,-82.990289","85","Berger Alley & Unknown~301 Berger Alley, Columbus, OH 43206, USA~2015-08~SE~39.951073,-82.990289~id-85.jpg"
"Berger Alley "," Unknown","302 Berger Alley, Columbus, OH 43206, USA","2015","08","NE","39.951062,-82.990288","85","Berger Alley & Unknown~302 Berger Alley, Columbus, OH 43206, USA~2015-08~NE~39.951062,-82.990288~id-85.jpg"
"Berger Alley "," Unknown","302 Berger Alley, Columbus, OH 43206, USA","2015","08","NW","39.951062,-82.990288","85","Berger Alley & Unknown~302 Berger Alley, Columbus, OH 43206, USA~2015-08~NW~39.951062,-82.990288~id-85.jpg"
"Blackberry Alley "," Concord Place","255 Reinhard Ave, Columbus, OH 43206, USA","2024","06","SE","39.944089,-82.989563","176","Blackberry Alley & Concord Place~255 Reinhard Ave, Columbus, OH 43206, USA~2024-06~SE~39.944089,-82.989563~id-176.jpg"
"Blackberry Alley "," Concord Place","255 Reinhard Ave, Columbus, OH 43206, USA","2024","06","SW","39.944089,-82.989563","176","Blackberry Alley & Concord Place~255 Reinhard Ave, Columbus, OH 43206, USA~2024-06~SW~39.944089,-82.989563~id-176.jpg"
"Blackberry Alley "," Concord Place","279 E Whittier St, Columbus, OH 43206, USA","2024","06","NE","39.944089,-82.989563","176","Blackberry Alley & Concord Place~279 E Whittier St, Columbus, OH 43206, USA~2024-06~NE~39.944089,-82.989563~id-176.jpg"
"Blackberry Alley "," Concord Place","279 E Whittier St, Columbus, OH 43206, USA","2024","06","N","39.944089,-82.989563","176","Blackberry Alley & Concord Place~279 E Whittier St, Columbus, OH 43206, USA~2024-06~N~39.944089,-82.989563~id-176.jpg"
"Blackberry Alley "," East Deshler Avenue","241 Blackberry Alley, Columbus, OH 43206, USA","2022","10","SE","39.940728,-82.989886","173","Blackberry Alley & East Deshler Avenue~241 Blackberry Alley, Columbus, OH 43206, USA~2022-10~SE~39.940728,-82.989886~id-173.jpg"
"Blackberry Alley "," East Deshler Avenue","241 Blackberry Alley, Columbus, OH 43206, USA","2022","10","SW","39.940717,-82.989712","173","Blackberry Alley & East Deshler Avenue~241 Blackberry Alley, Columbus, OH 43206, USA~2022-10~SW~39.940717,-82.989712~id-173.jpg"
"Blackberry Alley "," East Deshler Avenue","46 Blackberry Alley, Columbus, OH 43206, USA","2022","10","NE","39.940728,-82.989886","173","Blackberry Alley & East Deshler Avenue~46 Blackberry Alley, Columbus, OH 43206, USA~2022-10~NE~39.940728,-82.989886~id-173.jpg"
"Blackberry Alley "," East Deshler Avenue","46 Blackberry Alley, Columbus, OH 43206, USA","2022","10","NW","39.940717,-82.989712","173","Blackberry Alley & East Deshler Avenue~46 Blackberry Alley, Columbus, OH 43206, USA~2022-10~NW~39.940717,-82.989712~id-173.jpg"
"Blackberry Alley "," East Stewart Avenue","247 Stewart Ave, Columbus, OH 43206, USA","2022","10","SE","39.941879,-82.989819","171","Blackberry Alley & East Stewart Avenue~247 Stewart Ave, Columbus, OH 43206, USA~2022-10~SE~39.941879,-82.989819~id-171.jpg"
"Blackberry Alley "," East Stewart Avenue","247 Stewart Ave, Columbus, OH 43206, USA","2024","06","SW","39.941860,-82.989633","171","Blackberry Alley & East Stewart Avenue~247 Stewart Ave, Columbus, OH 43206, USA~2024-06~SW~39.941860,-82.989633~id-171.jpg"
"Blackberry Alley "," East Stewart Avenue","258 Stewart Ave, Columbus, OH 43206, USA","2022","10","E","39.941879,-82.989819","171","Blackberry Alley & East Stewart Avenue~258 Stewart Ave, Columbus, OH 43206, USA~2022-10~E~39.941879,-82.989819~id-171.jpg"
